Model,Name,Read,Write,Create,Delete,Access_Level
account.edi.xml.ubl_nl,SI-UBL 2.0 (NLCIUS),Yes,No,No,No,READ-ONLY
account.edi.xml.ubl_sg,SG BIS Billing 3.0,Yes,No,No,No,READ-ONLY
account.fiscal.position,Fiscal Position,Yes,No,No,No,READ-ONLY
account.fiscal.position.account,Accounts Mapping of Fiscal Position,Yes,No,No,No,READ-ONLY
account.fiscal.position.tax,Tax Mapping of Fiscal Position,Yes,No,No,No,READ-ONLY
account.fiscal.year,Fiscal Year,Yes,No,No,No,READ-ONLY
account.followup.report,Follow-up Report,Yes,No,No,No,READ-ONLY
account.full.reconcile,Full Reconcile,Yes,No,No,No,READ-ONLY
account.general.ledger.report.handler,General Ledger Custom Handler,Yes,No,No,No,READ-ONLY
account.generic.tax.report.handler,Generic Tax Report Custom Handler,Yes,No,No,No,READ-ONLY
account.generic.tax.report.handler.account.tax,Generic Tax Report Custom Handler (Account -> Tax),Yes,No,No,No,READ-ONLY
account.generic.tax.report.handler.tax.account,Generic Tax Report Custom Handler (Tax -> Account),Yes,No,No,No,READ-ONLY
account.group,Account Group,Yes,No,No,No,READ-ONLY
account.incoterms,Incoterms,Yes,No,No,No,READ-ONLY
account.invoice.report,Invoices Statistics,Yes,No,No,No,READ-ONLY
account.invoice_extract.words,Extracted words from invoice scan,Yes,Yes,Yes,Yes,FULL (RWCD)
account.journal,Journal,Yes,No,No,No,READ-ONLY
